MBO Permanent Identifier*,Data Entry Person (mPID - you)*,Data Entered for Action (mPID)*,Name*,Description,Box,Circle,Elevation (m),Line,Polygon
mbo_shape_bb_be,mbo_54167,mbo_wp1_tool_population,Belgian EEZ Bounding Box,Bounding Box of Belgian Exclusive Economic Zone (MRGID:3293). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,51.03976 2.23833 51.87611 4.40204,,,,
mbo_shape_bb_bg,mbo_54167,mbo_wp1_tool_population,Bulgarian EEZ Bounding Box,Bounding Box of Bulgarian Exclusive Economic Zone (MRGID:5672). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,41.97819 27.44371 43.73847 31.33082,,,,
mbo_shape_bb_hr,mbo_54167,mbo_wp1_tool_population,Croatian EEZ Bounding Box,Bounding Box of Croatian Exclusive Economic Zone (MRGID:5673). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,41.6297 13.00278 45.56495 18.54925,,,,
mbo_shape_bb_cy,mbo_54167,mbo_wp1_tool_population,Cypriote EEZ Bounding Box,Bounding Box of Cypriot Exclusive Economic Zone (MRGID:8376). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,32.88889 29.84648 36.21911 35.1943,,,,
mbo_shape_bb_dk,mbo_54167,mbo_wp1_tool_population,Danish EEZ Bounding Box,Bounding Box of Danish Exclusive Economic Zone (MRGID:5674). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,54.36419 3.25 58.26144 16.5106,,,,
mbo_shape_bb_nl,mbo_54167,mbo_wp1_tool_population,Dutch EEZ Bounding Box,Bounding Box of Dutch Exclusive Economic Zone (MRGID:5668). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,51.33016 2.53933 55.765 7.21028,,,,
mbo_shape_bb_ee,mbo_54167,mbo_wp1_tool_population,Estonian EEZ Bounding Box,Bounding Box of Estonian Exclusive Economic Zone (MRGID:5675). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,57.58638 20.37133 59.99492 28.20899,,,,
mbo_shape_bb_fi,mbo_54167,mbo_wp1_tool_population,Finnish EEZ Bounding Box,Bounding Box of Finnish Exclusive Economic Zone (MRGID:5676). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,58.8445 19.0832 66.77516 27.8312,,,,
mbo_shape_bb_fr,mbo_54167,mbo_wp1_tool_population,French EEZ Bounding Box,Bounding Box of French Exclusive Economic Zone (MRGID:5677). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,41.24333 -9.87728 51.55778 10.21833,,,,
mbo_shape_bb_de,mbo_54167,mbo_wp1_tool_population,German EEZ Bounding Box,Bounding Box of German Exclusive Economic Zone (MRGID:5669). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,52.87112 3.35 55.91928 14.75,,,,
mbo_shape_bb_gr,mbo_54167,mbo_wp1_tool_population,Greek EEZ Bounding Box,Bounding Box of Greek Exclusive Economic Zone (MRGID:5679). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,33.28103 18.26094 41.09133 30.10359,,,,
mbo_shape_bb_ie,mbo_54167,mbo_wp1_tool_population,Irish EEZ Bounding Box,Bounding Box of Irish Exclusive Economic Zone (MRGID:5681). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,48.18019 -16.09542 56.7 -5.27233,,,,
mbo_shape_bb_it,mbo_54167,mbo_wp1_tool_population,Italian EEZ Bounding Box,Bounding Box of Italian Exclusive Economic Zone (MRGID:5682). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,35.06441 5.88972 45.80891 18.99524,,,,
mbo_shape_bb_lv,mbo_54167,mbo_wp1_tool_population,Latvian EEZ Bounding Box,Bounding Box of Latvian Exclusive Economic Zone (MRGID:5683). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,56.04542 19.09754 58.02407 24.41247,,,,
mbo_shape_bb_lt,mbo_54167,mbo_wp1_tool_population,Lithuanian EEZ Bounding Box,Bounding Box of Lithuanian Exclusive Economic Zone (MRGID:5684). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,55.18488 19.02113 56.06913 21.53884,,,,
mbo_shape_bb_mt,mbo_54167,mbo_wp1_tool_population,Maltese EEZ Bounding Box,Bounding Box of Maltese Exclusive Economic Zone (MRGID:5685). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,34.21329 13.41697 36.5124 17.49726,,,,
mbo_shape_bb_pl,mbo_54167,mbo_wp1_tool_population,Polish EEZ Bounding Box,Bounding Box of Polish Exclusive Economic Zone (MRGID:5687). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,52.65352 14.2014 55.92155 19.80486,,,,
mbo_shape_bb_pt,mbo_54167,mbo_wp1_tool_population,Portuguese EEZ Bounding Box,Bounding Box of Portuguese Exclusive Economic Zone (MRGID:5688). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,34.8776 -13.86535 42.05467 -7.25694,,,,
mbo_shape_bb_ro,mbo_54167,mbo_wp1_tool_population,Romanian EEZ Bounding Box,Bounding Box of Romanian Exclusive Economic Zone (MRGID:5689). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,43.4398 28.52782 45.21284 31.40972,,,,
mbo_shape_bb_si,mbo_54167,mbo_wp1_tool_population,Slovenian EEZ Bounding Box,Bounding Box of Slovenian Exclusive Economic Zone (MRGID:5692). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,45.46548 13.38701 45.63 13.74668,,,,
mbo_shape_bb_es,mbo_54167,mbo_wp1_tool_population,Spanish EEZ Bounding Box,Bounding Box of Spanish Exclusive Economic Zone (MRGID:5693). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,35.66859 -13.85305 46.874 6.3,,,,
mbo_shape_bb_se,mbo_54167,mbo_wp1_tool_population,Swedish EEZ Bounding Box,Bounding Box of Swedish Exclusive Economic Zone (MRGID:5694). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,54.96244 10.03003 67.08059 24.18972,,,,
mbo_shape_global,mbo_54167,mbo_wp1_tool_population,Global boundaries,Bounding box for entire earth,-90 -180 90 180,,,,
mbo_shape_bb_no,mbo_54167,mbo_wp1_tool_population,NorwegianEEZ Bounding Box,Bounding Box of Norwegian Exclusive Economic Zone (MRGID:5686). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,56.08599 -0.4907 74.50483 36.47626,,,,
